"時点","地域コード","地域","有効求人倍率【倍】","注記","新規求人倍率【倍】","注記","労働力人口（国勢調査）【人】","注記","第１次産業就業者数【人】","注記","第２次産業就業者数【人】","注記","第３次産業就業者数【人】","注記"
"1963年5月","26000","京都府","0.77","","1.22","","","","","","","","",""
"1963年5月","27000","大阪府","0.62","","0.99","","","","","","","","",""
"1963年5月","28000","兵庫県","0.43","","0.54","","","","","","","","",""
"1963年5月","29000","奈良県","1.05","","1.49","","","","","","","","",""
"1963年5月","30000","和歌山県","0.57","","1.12","","","","","","","","",""
"1963年5月","31000","鳥取県","0.50","","0.80","","","","","","","","",""
"1963年5月","32000","島根県","0.36","","0.71","","","","","","","","",""
"1963年5月","33000","岡山県","0.79","","1.39","","","","","","","","",""
"1963年5月","34000","広島県","0.55","","0.81","","","","","","","","",""
"1963年5月","35000","山口県","0.25","","0.46","","","","","","","","",""
"1963年5月","36000","徳島県","0.30","","0.41","","","","","","","","",""
"1963年5月","37000","香川県","0.86","","1.04","","","","","","","","",""
"1963年5月","38000","愛媛県","0.29","","0.38","","","","","","","","",""
"1963年5月","39000","高知県","0.17","","0.23","","","","","","","","",""
"1963年5月","40000","福岡県","0.14","","0.29","","","","","","","","",""
"1963年5月","41000","佐賀県","0.16","","0.40","","","","","","","","",""
"1963年5月","42000","長崎県","0.24","","0.46","","","","","","","","",""
"1963年5月","43000","熊本県","0.19","","0.36","","","","","","","","",""
"1963年5月","44000","大分県","0.24","","0.41","","","","","","","","",""
"1963年5月","45000","宮崎県","0.11","","0.27","","","","","","","","",""
"1963年5月","46000","鹿児島県","0.09","","0.18","","","","","","","","",""
"1963年5月","47000","沖縄県","0.58","","0.60","","","","","","","","",""
"1963年6月","01000","北海道","1.76","","1.18","","","","","","","","",""
"1963年6月","02000","青森県","0.54","","0.90","","","","","","","","",""
"1963年6月","03000","岩手県","0.51","","0.61","","","","","","","","",""
"1963年6月","04000","宮城県","0.62","","0.75","","","","","","","","",""
"1963年6月","05000","秋田県","0.53","","0.76","","","","","","","","",""
"1963年6月","06000","山形県","0.79","","0.63","","","","","","","","",""
"1963年6月","07000","福島県","0.67","","0.78","","","","","","","","",""
"1963年6月","08000","茨城県","0.96","","1.38","","","","","","","","",""
"1963年6月","09000","栃木県","1.14","","1.18","","","","","","","","",""
"1963年6月","10000","群馬県","1.82","","1.35","","","","","","","","",""
"1963年6月","11000","埼玉県","1.45","","1.57","","","","","","","","",""
"1963年6月","12000","千葉県","0.58","","0.86","","","","","","","","",""
"1963年6月","13000","東京都","0.61","","1.01","","","","","","","","",""
"1963年6月","14000","神奈川県","0.93","","1.13","","","","","","","","",""
"1963年6月","15000","新潟県","0.61","","0.71","","","","","","","","",""
"1963年6月","16000","富山県","0.75","","0.82","","","","","","","","",""
"1963年6月","17000","石川県","1.04","","0.69","","","","","","","","",""
"1963年6月","18000","福井県","1.20","","1.12","","","","","","","","",""
"1963年6月","19000","山梨県","1.24","","2.40","","","","","","","","",""
"1963年6月","20000","長野県","1.22","","1.08","","","","","","","","",""
"1963年6月","21000","岐阜県","1.78","","2.03","","","","","","","","",""
"1963年6月","22000","静岡県","1.31","","1.82","","","","","","","","",""
"1963年6月","23000","愛知県","2.77","","2.41","","","","","","","","",""
"1963年6月","24000","三重県","2.28","","1.42","","","","","","","","",""
"1963年6月","25000","滋賀県","1.50","","1.14","","","","","","","","",""
"1963年6月","26000","京都府","1.39","","1.18","","","","","","","","",""
"1963年6月","27000","大阪府","0.73","","1.06","","","","","","","","",""
"1963年6月","28000","兵庫県","0.46","","0.80","","","","","","","","",""
"1963年6月","29000","奈良県","1.61","","1.53","","","","","","","","",""
"1963年6月","30000","和歌山県","0.67","","0.99","","","","","","","","",""
"1963年6月","31000","鳥取県","0.54","","0.83","","","","","","","","",""
"1963年6月","32000","島根県","0.30","","0.39","","","","","","","","",""
"1963年6月","33000","岡山県","1.53","","2.88","","","","","","","","",""
"1963年6月","34000","広島県","0.76","","1.02","","","","","","","","",""
"1963年6月","35000","山口県","0.25","","0.40","","","","","","","","",""
"1963年6月","36000","徳島県","0.30","","0.59","","","","","","","","",""
"1963年6月","37000","香川県","0.93","","1.16","","","","","","","","",""
"1963年6月","38000","愛媛県","0.28","","0.51","","","","","","","","",""
"1963年6月","39000","高知県","0.15","","0.40","","","","","","","","",""
"1963年6月","40000","福岡県","0.15","","0.36","","","","","","","","",""
"1963年6月","41000","佐賀県","0.18","","0.44","","","","","","","","",""
"1963年6月","42000","長崎県","0.29","","0.57","","","","","","","","",""
"1963年6月","43000","熊本県","0.21","","0.42","","","","","","","","",""
"1963年6月","44000","大分県","0.26","","0.53","","","","","","","","",""
"1963年6月","45000","宮崎県","0.21","","0.35","","","","","","","","",""
"1963年6月","46000","鹿児島県","0.09","","0.26","","","","","","","","",""
"1963年6月","47000","沖縄県","0.46","","0.61","","","","","","","","",""
"1963年7月","01000","北海道","1.51","","0.76","","","","","","","","",""
"1963年7月","02000","青森県","0.53","","0.77","","","","","","","","",""
"1963年7月","03000","岩手県","0.65","","1.49","","","","","","","","",""
"1963年7月","04000","宮城県","0.66","","0.79","","","","","","","","",""
"1963年7月","05000","秋田県","0.40","","0.83","","","","","","","","",""
"1963年7月","06000","山形県","0.76","","1.00","","","","","","","","",""
"1963年7月","07000","福島県","0.49","","0.83","","","","","","","","",""
"1963年7月","08000","茨城県","0.97","","1.17","","","","","","","","",""
"1963年7月","09000","栃木県","1.07","","0.96","","","","","","","","",""
"1963年7月","10000","群馬県","1.21","","1.24","","","","","","","","",""
"1963年7月","11000","埼玉県","1.14","","1.28","","","","","","","","",""
"1963年7月","12000","千葉県","0.66","","0.99","","","","","","","","",""
"1963年7月","13000","東京都","0.64","","1.12","","","","","","","","",""
"1963年7月","14000","神奈川県","0.95","","1.08","","","","","","","","",""
"1963年7月","15000","新潟県","0.59","","0.68","","","","","","","","",""
"1963年7月","16000","富山県","0.70","","0.74","","","","","","","","",""
"1963年7月","17000","石川県","1.15","","1.16","","","","","","","","",""
"1963年7月","18000","福井県","0.70","","1.10","","","","","","","","",""
"1963年7月","19000","山梨県","1.24","","1.45","","","","","","","","",""
"1963年7月","20000","長野県","1.05","","1.18","","","","","","","","",""
"1963年7月","21000","岐阜県","1.67","","1.85","","","","","","","","",""
"1963年7月","22000","静岡県","1.29","","1.39","","","","","","","","",""
"1963年7月","23000","愛知県","2.12","","2.03","","","","","","","","",""
"1963年7月","24000","三重県","0.83","","1.01","","","","","","","","",""
"1963年7月","25000","滋賀県","1.10","","0.91","","","","","","","","",""
"1963年7月","26000","京都府","0.69","","1.16","","","","","","","","",""
"1963年7月","27000","大阪府","0.69","","1.09","","","","","","","","",""
"1963年7月","28000","兵庫県","0.46","","0.84","","","","","","","","",""
"1963年7月","29000","奈良県","0.97","","1.06","","","","","","","","",""
"1963年7月","30000","和歌山県","0.66","","1.27","","","","","","","","",""
"1963年7月","31000","鳥取県","0.46","","0.59","","","","","","","","",""
"1963年7月","32000","島根県","0.30","","0.49","","","","","","","","",""
"1963年7月","33000","岡山県","1.16","","0.54","","","","","","","","",""
"1963年7月","34000","広島県","0.76","","1.00","","","","","","","","",""
"1963年7月","35000","山口県","0.24","","0.47","","","","","","","","",""
"1963年7月","36000","徳島県","0.29","","0.65","","","","","","","","",""
"1963年7月","37000","香川県","0.75","","0.67","","","","","","","","",""
"1963年7月","38000","愛媛県","0.29","","0.43","","","","","","","","",""
"1963年7月","39000","高知県","0.19","","0.57","","","","","","","","",""
"1963年7月","40000","福岡県","0.15","","0.37","","","","","","","","",""
"1963年7月","41000","佐賀県","0.18","","0.44","","","","","","","","",""
"1963年7月","42000","長崎県","0.25","","0.51","","","","","","","","",""
"1963年7月","43000","熊本県","0.20","","0.38","","","","","","","","",""
"1963年7月","44000","大分県","0.27","","0.46","","","","","","","","",""
"1963年7月","45000","宮崎県","0.12","","0.38","","","","","","","","",""
"1963年7月","46000","鹿児島県","0.07","","0.25","","","","","","","","",""
"1963年7月","47000","沖縄県","0.96","","1.14","","","","","","","","",""
"1963年8月","01000","北海道","1.20","","0.90","","","","","","","","",""
"1963年8月","02000","青森県","0.43","","0.56","","","","","","","","",""
"1963年8月","03000","岩手県","0.71","","1.05","","","","","","","","",""
"1963年8月","04000","宮城県","0.77","","1.11","","","","","","","","",""
"1963年8月","05000","秋田県","0.35","","0.75","","","","","","","","",""
"1963年8月","06000","山形県","0.63","","0.71","","","","","","","","",""
"1963年8月","07000","福島県","0.51","","0.85","","","","","","","","",""
"1963年8月","08000","茨城県","1.23","","1.68","","","","","","","","",""
"1963年8月","09000","栃木県","1.20","","1.51","","","","","","","","",""
"1963年8月","10000","群馬県","1.30","","1.46","","","","","","","","",""
"1963年8月","11000","埼玉県","1.37","","2.15","","","","","","","","",""
"1963年8月","12000","千葉県","0.72","","1.03","","","","","","","","",""
"1963年8月","13000","東京都","0.74","","1.35","","","","","","","","",""
"1963年8月","14000","神奈川県","0.99","","1.45","","","","","","","","",""
"1963年8月","15000","新潟県","0.55","","0.85","","","","","","","","",""
"1963年8月","16000","富山県","0.78","","1.48","","","","","","","","",""
"1963年8月","17000","石川県","1.12","","1.21","","","","","","","","",""
"1963年8月","18000","福井県","0.82","","1.22","","","","","","","","",""
"1963年8月","19000","山梨県","1.25","","1.47","","","","","","","","",""
"1963年8月","20000","長野県","1.02","","0.93","","","","","","","","",""
"1963年8月","21000","岐阜県","1.91","","3.02","","","","","","","","",""
"1963年8月","22000","静岡県","1.40","","1.77","","","","","","","","",""
"1963年8月","23000","愛知県","2.45","","2.99","","","","","","","","",""
"1963年8月","24000","三重県","1.13","","2.12","","","","","","","","",""
"1963年8月","25000","滋賀県","1.22","","1.49","","","","","","","","",""
"1963年8月","26000","京都府","0.73","","1.45","","","","","","","","",""
"1963年8月","27000","大阪府","0.79","","1.52","","","","","","","","",""
"1963年8月","28000","兵庫県","0.52","","1.14","","","","","","","","",""
"1963年8月","29000","奈良県","1.00","","1.44","","","","","","","","",""
"1963年8月","30000","和歌山県","0.74","","1.38","","","","","","","","",""
"1963年8月","31000","鳥取県","0.51","","0.96","","","","","","","","",""
"1963年8月","32000","島根県","0.45","","1.31","","","","","","","","",""
"1963年8月","33000","岡山県","0.60","","0.98","","","","","","","","",""
"1963年8月","34000","広島県","0.72","","1.16","","","","","","","","",""
"1963年8月","35000","山口県","0.27","","0.61","","","","","","","","",""
"1963年8月","36000","徳島県","0.28","","0.75","","","","","","","","",""
"1963年8月","37000","香川県","0.68","","0.92","","","","","","","","",""
"1963年8月","38000","愛媛県","0.27","","0.47","","","","","","","","",""
"1963年8月","39000","高知県","0.18","","0.43","","","","","","","","",""
"1963年8月","40000","福岡県","0.16","","0.50","","","","","","","","",""
"1963年8月","41000","佐賀県","0.19","","0.41","","","","","","","","",""
"1963年8月","42000","長崎県","0.30","","0.69","","","","","","","","",""
"1963年8月","43000","熊本県","0.21","","0.43","","","","","","","","",""
"1963年8月","44000","大分県","0.26","","0.59","","","","","","","","",""
"1963年8月","45000","宮崎県","0.13","","0.43","","","","","","","","",""
"1963年8月","46000","鹿児島県","0.09","","0.36","","","","","","","","",""
"1963年8月","47000","沖縄県","0.67","","1.13","","","","","","","","",""
"1963年9月","01000","北海道","0.74","","0.96","","","","","","","","",""
"1963年9月","02000","青森県","0.41","","0.72","","","","","","","","",""
"1963年9月","03000","岩手県","0.74","","0.92","","","","","","","","",""
"1963年9月","04000","宮城県","0.81","","0.83","","","","","","","","",""
"1963年9月","05000","秋田県","0.34","","0.84","","","","","","","","",""
"1963年9月","06000","山形県","0.59","","0.91","","","","","","","","",""
"1963年9月","07000","福島県","0.56","","0.94","","","","","","","","",""
"1963年9月","08000","茨城県","1.30","","1.33","","","","","","","","",""
"1963年9月","09000","栃木県","1.35","","1.59","","","","","","","","",""
"1963年9月","10000","群馬県","1.59","","1.74","","","","","","","","",""
"1963年9月","11000","埼玉県","1.54","","2.07","","","","","","","","",""
"1963年9月","12000","千葉県","0.83","","1.20","","","","","","","","",""
"1963年9月","13000","東京都","0.78","","1.32","","","","","","","","",""
"1963年9月","14000","神奈川県","1.22","","1.80","","","","","","","","",""
"1963年9月","15000","新潟県","0.56","","0.92","","","","","","","","",""
"1963年9月","16000","富山県","0.89","","1.31","","","","","","","","",""
"1963年9月","17000","石川県","1.13","","1.05","","","","","","","","",""
"1963年9月","18000","福井県","0.95","","1.49","","","","","","","","",""
"1963年9月","19000","山梨県","1.22","","1.42","","","","","","","","",""
"1963年9月","20000","長野県","1.06","","1.25","","","","","","","","",""
"1963年9月","21000","岐阜県","2.11","","2.61","","","","","","","","",""
"1963年9月","22000","静岡県","2.19","","3.77","","","","","","","","",""
"1963年9月","23000","愛知県","2.90","","3.18","","","","","","","","",""
